lmMetro,lm,dm,province,country
lm,Overstrand lm,Overberg,Western Cape,South Africa
lm,Phokwane lm,Frances Baard,Nothern Cape,South Africa
lm,Phumelela lm,Thabo Mofutsanyane,Free State,South Africa
lm,Polokwane lm,Capricorn,Limpopo,South Africa
lm,Port St Johns lm,O.R.Tambo,Eastern Cape,South Africa
lm,Prince Albert lm,Central Karoo,Western Cape,South Africa
lm,Ramotshere Moiloa lm,Ngaka Modiri Molema,North West,South Africa
lm,Rand West City lm,West Rand,Gauteng,South Africa
lm,Ratlou lm,Ngaka Modiri Molema,North West,South Africa
lm,Ray Nkonyeni lm,Ugu,KwaZulu-Natal,South Africa
lm,Raymond Mhlaba lm,Amathole,Eastern Cape,South Africa
lm,Renosterberg lm,Pixley ka Seme,Nothern Cape,South Africa
lm,Richmond lm,Umgungundlovu,KwaZulu-Natal,South Africa
lm,Richtersveld lm,Namakwa,Nothern Cape,South Africa
lm,Rustenburg lm,Bojanala,North West,South Africa
lm,Sakhisizwe lm,Chris Hani,Eastern Cape,South Africa
lm,Saldanha Bay lm,West Coast,Western Cape,South Africa
lm,Senqu lm,Joe Gqabi,Eastern Cape,South Africa
lm,Setsoto lm,Thabo Mofutsanyane,Free State,South Africa
lm,Siyancuma lm,Pixley ka Seme,Nothern Cape,South Africa
lm,Siyathemba lm,Pixley ka Seme,Nothern Cape,South Africa
lm,Sol Plaatjie lm,Frances Baard,Nothern Cape,South Africa
lm,Stellenbosch lm,Cape Winelands,Western Cape,South Africa
lm,Steve Tshwete lm,Nkangala,Mpumalanga,South Africa
lm,Sundays River Valley lm,Cacadu,Eastern Cape,South Africa
lm,Swartland lm,West Coast,Western Cape,South Africa
lm,Swellendam lm,Overberg,Western Cape,South Africa
lm,Thaba Chweu lm,Ehlanzeni,Mpumalanga,South Africa
lm,Thabazimbi lm,Waterberg,Limpopo,South Africa
lm,Msunduzi lm,Umgungundlovu,KwaZulu-Natal,South Africa
lm,Theewaterskloof lm,Overberg,Western Cape,South Africa
lm,Thembelihle lm,Pixley ka Seme,Nothern Cape,South Africa
lm,Thembisile lm,Nkangala,Mpumalanga,South Africa
lm,Thulamela lm,Vhembe,Limpopo,South Africa
lm,Tokologo lm,Lejweleputswa,Free State,South Africa
lm,Tsantsabane lm,Z F Mgcawu,Nothern Cape,South Africa
lm,Tswaing lm,Ngaka Modiri Molema,North West,South Africa
lm,Tswelopele lm,Lejweleputswa,Free State,South Africa
lm,Ubuhlebezwe lm,Sisonke,KwaZulu-Natal,South Africa
lm,Ubuntu lm,Pixley ka Seme,Nothern Cape,South Africa
lm,Ulundi lm,Zululand,KwaZulu-Natal,South Africa
lm,Umdoni lm,Ugu,KwaZulu-Natal,South Africa
lm,Umhlabuyalingana lm,Umkhanyakude,KwaZulu-Natal,South Africa
lm,uMhlathuze lm,Uthungulu,KwaZulu-Natal,South Africa
lm,uMlalazi lm,Uthungulu,KwaZulu-Natal,South Africa
lm,uMngeni lm,Umgungundlovu,KwaZulu-Natal,South Africa
lm,uMshwathi lm,Umgungundlovu,KwaZulu-Natal,South Africa
lm,Umsobomvu lm,Pixley ka Seme,Nothern Cape,South Africa
lm,uMuziwabantu lm,Ugu,KwaZulu-Natal,South Africa
lm,Umvoti lm,Umzinyathi,KwaZulu-Natal,South Africa
lm,Umzimkhulu lm,Sisonke,KwaZulu-Natal,South Africa
lm,Umzimvubu lm,Alfred Nzo,Eastern Cape,South Africa
lm,Umzumbe lm,Ugu,KwaZulu-Natal,South Africa
lm,uPhongolo lm,Zululand,KwaZulu-Natal,South Africa
lm,Ventersdorp/Tlokwe lm,Dr Kenneth Kaunda,North West,South Africa
lm,Victor Khanye lm,Nkangala,Mpumalanga,South Africa
lm,Walter Sisulu lm,Joe Gqabi,Eastern Cape,South Africa
lm,Witzenberg lm,Cape Winelands,Western Cape,South Africa
