GID,PRCL_KEY,PRCL_TYPE,LSTATUS,WSTATUS,GEOM_AREA,COMMENTS,TAG_X,TAG_Y,TAG_VALUE,TAG_SIZE,TAG_ANGLE,TAG_JUST,ID,DATE_STAMP,PROVINCE,MAJ_REGION,MAJ_CODE,MIN_REGION,MIN_CODE,PARCEL_NO,PORTION,SS_NAME,DSG_NO,SR_NO,SS_NO
"4619732",M311T0IR090600000945000000,E,S,C,520.000000000000000,NEW AFRIGIS PARCELS,28.693097999999999,-26.132611000000001,"945",0.000020000000000,0.000000000000000,MC,T0IR09060000094500000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"945","0",,,,
"4619549",M311T0IR090600000987000000,E,S,C,328.370000000000005,NEW AFRIGIS PARCELS,28.692252000000000,-26.133427999999999,"987",0.000020000000000,0.000000000000000,MC,T0IR09060000098700000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"987","0",,,,
"4619551",M311T0IR090600000962000000,E,S,C,418.290000000000020,NEW AFRIGIS PARCELS,28.690442000000001,-26.133672000000001,"962",0.000020000000000,0.000000000000000,MC,T0IR09060000096200000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"962","0",,,,
"4619425",M311T0IR090600001846000000,E,S,C,244.129999999999995,NEW AFRIGIS PARCELS,28.689582999999999,-26.126722999999998,"1846",0.000020000000000,0.000000000000000,MC,T0IR09060000184600000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1846","0",,,,
"4619426",M311T0IR090600001074000000,E,S,C,307.120000000000005,NEW AFRIGIS PARCELS,28.694250000000000,-26.131929000000000,"1074",0.000020000000000,0.000000000000000,MC,T0IR09060000107400000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1074","0",,,,
"4619119",M311T0IR090600001031000000,E,S,C,371.480000000000018,NEW AFRIGIS PARCELS,28.693801000000001,-26.131851999999999,"1031",0.000020000000000,0.000000000000000,MC,T0IR09060000103100000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1031","0",,,,
"4616679",M311T0IR090600001789000000,E,S,C,220.000000000000000,NEW AFRIGIS PARCELS,28.692578999999999,-26.134492999999999,"1789",0.000020000000000,0.000000000000000,MC,T0IR09060000178900000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1789","0",,,,
"4616685",M311T0IR090600001836000000,E,S,C,208.090000000000003,NEW AFRIGIS PARCELS,28.690586000000000,-26.126773000000000,"1836",0.000020000000000,0.000000000000000,MC,T0IR09060000183600000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1836","0",,,,
"4616491",M311T0IR090600001554000000,E,S,C,220.030000000000001,NEW AFRIGIS PARCELS,28.691258000000001,-26.135819000000001,"1554",0.000020000000000,0.000000000000000,MC,T0IR09060000155400000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1554","0",,,,
"4616492",M311T0IR090600002143000000,E,S,C,214.120000000000005,NEW AFRIGIS PARCELS,28.695132999999998,-26.134053000000002,"2143",0.000020000000000,0.000000000000000,MC,T0IR09060000214300000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"2143","0",,,,
"4616262",M311T0IR090600001840000000,E,S,C,209.270000000000010,NEW AFRIGIS PARCELS,28.690183000000001,-26.126871000000001,"1840",0.000020000000000,0.000000000000000,MC,T0IR09060000184000000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1840","0",,,,
"4607106",M311T0IR090600002134000000,E,S,C,214.520000000000010,NEW AFRIGIS PARCELS,28.695176000000000,-26.133846999999999,"2134",0.000020000000000,0.000000000000000,MC,T0IR09060000213400000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"2134","0",,,,
"4607108",M311T0IR090600001572000000,E,S,C,255.879999999999995,NEW AFRIGIS PARCELS,28.690187000000002,-26.136599000000000,"1572",0.000020000000000,0.000000000000000,MC,T0IR09060000157200000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1572","0",,,,
"4607109",M311T0IR090600001887000000,E,S,C,208.599999999999994,NEW AFRIGIS PARCELS,28.691192999999998,-26.126449999999998,"1887",0.000020000000000,0.000000000000000,MC,T0IR09060000188700000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1887","0",,,,
"4607110",M311T0IR090600002156000000,E,S,C,216.199999999999989,NEW AFRIGIS PARCELS,28.695550999999998,-26.134236999999999,"2156",0.000020000000000,0.000000000000000,MC,T0IR09060000215600000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"2156","0",,,,
"4607112",M311T0IR090600001597000000,E,S,C,231.039999999999992,NEW AFRIGIS PARCELS,28.689587000000000,-26.135784999999998,"1597",0.000020000000000,0.000000000000000,MC,T0IR09060000159700000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1597","0",,,,
"4607113",M311T0IR090600001916000000,E,S,C,213.199999999999989,NEW AFRIGIS PARCELS,28.691624000000001,-26.126746000000001,"1916",0.000020000000000,0.000000000000000,MC,T0IR09060000191600000,2017/10/30,MPUMALANGA,IR,T0IR0000,BOTLENG,T0IR0906,"1916","0",,,,
