GID,PRCL_KEY,PRCL_TYPE,LSTATUS,WSTATUS,GEOM_AREA,COMMENTS,TAG_X,TAG_Y,TAG_VALUE,TAG_SIZE,TAG_ANGLE,TAG_JUST,ID,DATE_STAMP,PROVINCE,MAJ_REGION,MAJ_CODE,MIN_REGION,MIN_CODE,PARCEL_NO,PORTION,SS_NAME,DSG_NO,SR_NO,SS_NO
433778,E124C038004200000163000000,E,S,C,1804.180000,,27.149002,-32.681569,"163",0.000020,0.001188,MC,C03800420000016300000,2011/06/01,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,163,0,,,,
433781,E124C038004200000166000000,E,S,C,1555.390000,,27.149671,-32.681974,"166",0.000020,0.000000,MC,C03800420000016600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,166,0,,,,
433784,E124C038004200000169000000,E,S,C,382.670000,,27.149581,-32.682375,"169",0.000020,0.000000,MC,C03800420000016900000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,169,0,,,,
433786,E124C038004200000171000000,E,S,C,400.000000,,27.149448,-32.682562,"171",0.000020,0.000000,MC,C03800420000017100000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,171,0,,,,
433787,E124C038004200000172000000,E,S,C,372.780000,,27.149378,-32.682653,"172",0.000020,0.000000,MC,C03800420000017200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,172,0,,,,
433789,E124C038004200000749000000,E,S,C,449.530000,,27.148477,-32.681078,"749",0.000020,0.000000,MC,C03800420000074900000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,749,0,,,,
435540,E124C038004200000876000000,E,S,C,446.200000,,27.135596,-32.681330,"876",0.000020,0.000000,MC,C03800420000087600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,876,0,,,,
435542,E124C038004200000878000000,E,S,C,345.030000,,27.135610,-32.681627,"878",0.000020,0.000000,MC,C03800420000087800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,878,0,,,,
435544,E124C038004200000880000000,E,S,C,427.890000,,27.135596,-32.681918,"880",0.000020,0.000000,MC,C03800420000088000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,880,0,,,,
435546,E124C038004200000882000000,E,S,C,419.400000,,27.135237,-32.682001,"882",0.000020,0.000000,MC,C03800420000088200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,882,0,,,,
435547,E124C038004200000883000000,E,S,C,363.960000,,27.135040,-32.681978,"883",0.000020,0.000000,MC,C03800420000088300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,883,0,,,,
430260,E124C038004200000514000000,E,S,C,360.330000,,27.147139,-32.681610,"514",0.000020,0.000000,MC,C03800420000051400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,514,0,,,,
430286,E124C038004200000995000000,E,S,C,314.230000,,27.133109,-32.682220,"995",0.000020,0.000000,MC,C03800420000099500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,995,0,,,,
431200,E124C038004200001071000000,E,S,C,307.020000,,27.136354,-32.682127,"1071",0.000020,0.000000,MC,C03800420000107100000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1071,0,,,,
431203,E124C038004200001074000000,E,S,C,307.020000,,27.135903,-32.682291,"1074",0.000020,0.000000,MC,C03800420000107400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1074,0,,,,
432536,E124C038004200001149000000,E,S,C,303.800000,,27.138342,-32.681405,"1149",0.000020,0.000000,MC,C03800420000114900000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1149,0,,,,
432537,E124C038004200001150000000,E,S,C,303.290000,,27.138195,-32.681458,"1150",0.000020,0.000000,MC,C03800420000115000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1150,0,,,,
432539,E124C038004200001152000000,E,S,C,302.470000,,27.137901,-32.681565,"1152",0.000020,0.000000,MC,C03800420000115200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1152,0,,,,
432540,E124C038004200001153000000,E,S,C,302.030000,,27.137754,-32.681619,"1153",0.000020,0.000000,MC,C03800420000115300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1153,0,,,,
432542,E124C038004200001155000000,E,S,C,301.130000,,27.137460,-32.681726,"1155",0.000020,0.000000,MC,C03800420000115500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1155,0,,,,
432543,E124C038004200001156000000,E,S,C,300.690000,,27.137313,-32.681779,"1156",0.000020,0.000000,MC,C03800420000115600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1156,0,,,,
432545,E124C038004200001158000000,E,S,C,381.860000,,27.137063,-32.681677,"1158",0.000020,0.000000,MC,C03800420000115800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1158,0,,,,
432547,E124C038004200001160000000,E,S,C,298.930000,,27.137376,-32.681560,"1160",0.000020,0.000000,MC,C03800420000116000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1160,0,,,,
432548,E124C038004200001161000000,E,S,C,298.490000,,27.137523,-32.681506,"1161",0.000020,0.000000,MC,C03800420000116100000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1161,0,,,,
432550,E124C038004200001163000000,E,S,C,297.630000,,27.137817,-32.681400,"1163",0.000020,0.000000,MC,C03800420000116300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1163,0,,,,
432551,E124C038004200001164000000,E,S,C,297.190000,,27.137964,-32.681346,"1164",0.000020,0.000000,MC,C03800420000116400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1164,0,,,,
433790,E124C038004200000750000000,E,S,C,449.520000,,27.148501,-32.680917,"750",0.000020,0.000000,MC,C03800420000075000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,750,0,,,,
433792,E124C038004200000752000000,E,S,C,449.760000,,27.148548,-32.680594,"752",0.000020,0.000000,MC,C03800420000075200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,752,0,,,,
433795,E124C038004200000755000000,E,S,C,449.770000,,27.148618,-32.680111,"755",0.000020,0.000000,MC,C03800420000075500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,755,0,,,,
433796,E124C038004200000756000000,E,S,C,449.760000,,27.148642,-32.679950,"756",0.000020,0.000000,MC,C03800420000075600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,756,0,,,,
433798,E124C038004200000758000000,E,S,C,470.130000,,27.148131,-32.681059,"758",0.000020,0.000000,MC,C03800420000075800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,758,0,,,,
433800,E124C038004200000760000000,E,S,C,424.040000,,27.147881,-32.681388,"760",0.000020,0.000000,MC,C03800420000076000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,760,0,,,,
433801,E124C038004200000761000000,E,S,C,424.060000,,27.147712,-32.681443,"761",0.000020,0.000000,MC,C03800420000076100000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,761,0,,,,
433803,E124C038004200000763000000,E,S,C,416.790000,,27.147450,-32.681298,"763",0.000020,0.000000,MC,C03800420000076300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,763,0,,,,
433804,E124C038004200000764000000,E,S,C,424.030000,,27.147616,-32.681233,"764",0.000020,0.000000,MC,C03800420000076400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,764,0,,,,
