GID,PRCL_KEY,PRCL_TYPE,LSTATUS,WSTATUS,GEOM_AREA,COMMENTS,TAG_X,TAG_Y,TAG_VALUE,TAG_SIZE,TAG_ANGLE,TAG_JUST,ID,DATE_STAMP,PROVINCE,MAJ_REGION,MAJ_CODE,MIN_REGION,MIN_CODE,PARCEL_NO,PORTION,SS_NAME,DSG_NO,SR_NO,SS_NO
4753290,K261N0HT025400001000000001,E,A,H,31744465.631171,,30.816266,-27.432816,RE/1000,0.000035,6.281867,MC,N0HT02540000100000000,2021/02/01,KWAZULU-NATAL,HT,N0HT0000,PAULPIETERSBURG,N0HT0254,1000,0,,,,
3024916,K261N0HT025400001000000001,E,S,C,30916671.670796,,30.816254,-27.432825,RE/1000,0.000035,6.278183,MC,N0HT02540000100000000,2017/03/02,KWAZULU-NATAL,HT,N0HT0000,PAULPIETERSBURG,N0HT0254,1000,0,,,,
